Código OACI,CIAD,Nome,Município,UF,Município Servido,UF Servido,LatitudeRaiz,LongitudeRaiz,Altitude,Operação Diurna,Operação Noturna,Designação 1,Comprimento 1,Largura 1,Resistência 1,Superfície 1,Designação 2,Comprimento 2,Largura 2,Resistência 2,Superfície 2,Situação,Validade do Registro,Portaria de Registro,Link Portaria,lat,lon
SBLE,BA0006,Horácio de Matos,LENÇÓIS,Bahia,Lençóis,Bahia,"12°28'56.0S""","041°16'37.0W""",506,VFR,VFR,14/32,2082,30,44/R/A/W/T,Asfalto,,,,,,Cadastrado,29/10/2025,PA2015-2870,https://pergamum.anac.gov.br/arquivos/PA2015-2870.pdf,-12.482222222,-41.276944444
SNGI,BA0009,Aeródromo de Guanambi,GUANAMBI,Bahia,Guanambi,Bahia,"14°12'29.0S""","042°44'46.0W""",553,VFR,VFR,14/32,1700,30,18/F/A/Y/T,Asfalto,,,,,,Cadastrado,08/07/2025,PA2015-1765,https://pergamum.anac.gov.br/arquivos/PA2015-1765.pdf,-14.208055556,-42.746111111
SBFZ,CE0001,Pinto Martins,FORTALEZA,Ceará,Fortaleza,Ceará,"03°46'33.0S""","038°31'56.0W""",25,VFR / IFR - CAT I,VFR / IFR - CAT I,13/31,2545,45,66/F/A/X/T,Asfalto,,,,,,Cadastrado,24/10/2028,PA2018-3262,https://pergamum.anac.gov.br/arquivos/PA2018-3262.pdf,-3.775833333,-38.532222222
SNLN,ES0002,Municipal de Linhares,LINHARES,Espírito Santo,Linhares,Espírito Santo,"19°21'19.0S""","040°04'10.0W""",40,VFR,VFR,06/24,1350,30,14/F/A/Y/T,Asfalto,,,,,,Cadastrado,30/07/2025,PA2015-2012,https://pergamum.anac.gov.br/arquivos/PA2015-2012.pdf,-19.355277778,-40.069444444
SNMH,GO0018,Pirenópolis,PIRENÓPOLIS,Goiás,Pirenópolis,Goiás,"15°50'53.0S""","048°58'49.0W""",785,VFR,,15/33,1295,30,18/F/A/Y/T,Asfalto,,,,,,Cadastrado,18/05/2021,PA2011-0969,https://pergamum.anac.gov.br/arquivos/PA2011-0969.pdf,-15.848055556,-48.980277778
SNYU,MG0014,Aeródromo de Iturama,ITURAMA,Minas Gerais,Iturama,Minas Gerais,"19°43'02.0S""","050°13'13.0W""",475,VFR,VFR,18/36,1550,30,10/F/A/Y/T,Asfalto,,,,,,Cadastrado,23/09/2030,PA2020-2411,https://pergamum.anac.gov.br/arquivos/PA2020-2411.pdf,-19.717222222,-50.220277778
SNDT,MG0030,Juscelino Kubitscheck,DIAMANTINA,Minas Gerais,Diamantina,Minas Gerais,"18°13'56.0S""","043°39'01.0W""",1356,VFR,VFR,03/21,1610,30,14/F/B/X/T,Asfalto,,,,,,Cadastrado,30/07/2028,PA2018-2328,https://pergamum.anac.gov.br/arquivos/PA2018-2328.pdf,-18.232222222,-43.650277778
SBHT,PA0003,Altamira,ALTAMIRA,Pará,Altamira,Pará,"03°15'03.0S""","052°15'08.0W""",112,VFR / IFR Não Precisão,VFR / IFR Não Precisão,07/25,2003,30,36/F/A/X/T,Asfalto,,,,,,Cadastrado,25/08/2027,PA2017-2887,https://pergamum.anac.gov.br/arquivos/PA2017-2887.pdf,-3.250833333,-52.252222222
SBFN,PE0003,Fernando de Noronha,FERNANDO DE NORONHA,Pernambuco,Fernando de Noronha,Pernambuco,"03°51'17.0S""","032°25'42.0W""",58,VFR / IFR Não Precisão,VFR / IFR Não Precisão,12/30,1845,45,30/F/C/X/U,Asfalto,,,,,,Cadastrado,24/07/2028,PA2018-2251,https://pergamum.anac.gov.br/arquivos/PA2018-2251.pdf,-3.854722222,-32.428333333
SBTE,PI0001,Aeroporto de Teresina / Senador Petrônio Portella,TERESINA,Piauí,Teresina,Piauí,"05°03'38.0S""","042°49'28.0W""",67,VFR / IFR Não Precisão,VFR / IFR Não Precisão,02/20,2200,45,46/F/A/X/T,Asfalto,,,,,,Cadastrado,05/03/2025,PA2015-0532,https://pergamum.anac.gov.br/arquivos/PA2015-0532.pdf,-5.060555556,-42.824444444
SSUM,PR0019,Orlando de Carvalho,UMUARAMA,Paraná,Umuarama,Paraná,"23°47'57.0S""","053°18'50.0W""",475,VFR,VFR,04/22,1400,30,14/F/C/Y/U,Asfalto,,,,,,Cadastrado,05/09/2028,PA2018-2722,https://pergamum.anac.gov.br/arquivos/PA2018-2722.pdf,-23.799166667,-53.313888889
SSTE,RS0011,Torres,TORRES,Rio Grande do Sul,Torres,Rio Grande do Sul,"29°24'54.0S""","049°48'36.0W""",9,VFR,VFR,06/24,1507,30,32/F/B/X/T,Asfalto,,,,,,Cadastrado,26/10/2030,PA2020-2977,https://pergamum.anac.gov.br/arquivos/PA2020-2977.pdf,-29.415,-49.81
SBLJ,SC0007,Lages,LAGES,Santa Catarina,Lages,Santa Catarina,"27°46'56.0S""","050°16'54.0W""",934,VFR / IFR Não Precisão,VFR / IFR Não Precisão,17/35,1532,30,17/F/C/Y/U,Asfalto,,,,,,Cadastrado,23/06/2026,PA2016-1562,https://pergamum.anac.gov.br/arquivos/PA2016-1562.pdf,-27.782222222,-50.281666667
SDSC,SP0029,Mário Pereira Lopes,SÃO CARLOS,São Paulo,São Carlos,São Paulo,"21°52'35.0S""","047°54'12.0W""",807,VFR,VFR,02/20,1620,45,47/F/A/X/T,Asfalto,,,,,,Cadastrado,27/08/2028,PA2018-2564,https://pergamum.anac.gov.br/arquivos/PA2018-2564.pdf,-21.876388889,-47.903333333
SBGO,GO0001,Santa Genoveva,GOIÂNIA,Goiás,Goiânia,Goiás,"16°37'57.0S""","049°13'16.0W""",747,VFR / IFR Não Precisão,VFR / IFR Não Precisão,14/32,2286,45,67/F/B/X/T,Asfalto,,,,,,Cadastrado,18/10/2027,PA2017-3371,https://pergamum.anac.gov.br/arquivos/PA2017-3371.pdf,-16.6325,-49.221111111
SSKW,RO0004,Cacoal,CACOAL,Rondônia,Cacoal,Rondônia,"11°29'44.0S""","061°27'03.0W""",249,VFR,VFR,16/34,2100,45,31/F/A/X/T,Asfalto,,,,,,Cadastrado,23/06/2030,PA2020-1567,https://pergamum.anac.gov.br/arquivos/PA2020-1567.pdf,-11.495555556,-61.450833333
SBMI,RJ0009,Maricá,MARICÁ,Rio de Janeiro,Maricá,Rio de Janeiro,"22°55'05.0S""","042°49'44.0W""",0,VFR,VFR,09/27,1190,30,13/F/A/X/T,Asfalto,,,,,,Cadastrado,23/08/2028,PA2019-0538,https://pergamum.anac.gov.br/arquivos/PA2019-0538.pdf,-22.918055556,-42.828888889
SBUL,MG0002,Ten. Cel. Aviador César Bombonato,UBERLÂNDIA,Minas Gerais,Uberlândia,Minas Gerais,"18°53'01.0S""","048°13'31.0W""",943,VFR / IFR - CAT I,VFR / IFR - CAT I,04/22,2100,45,43/F/A/X/T,Asfalto,,,,,,Cadastrado,27/02/2024,PA2014-0465,https://pergamum.anac.gov.br/arquivos/PA2014-0465.pdf,-18.883611111,-48.225277778
SBTG,MS0006,Três Lagoas,TRÊS LAGOAS,Mato Grosso do Sul,Três Lagoas,Mato Grosso do Sul,"20°45'05.0S""","051°40'49.0W""",323,VFR,VFR,07/25,2000,30,33/F/B/X/T,Asfalto,,,,,,Cadastrado,04/09/2023,PA2019-2140,https://pergamum.anac.gov.br/arquivos/PA2019-2140.pdf,-20.751388889,-51.680277778
SSKG,MS0003,Estância Santa Maria,CAMPO GRANDE,Mato Grosso do Sul,Campo Grande,Mato Grosso do Sul,"20°30'20.0S""","054°31'29.0W""",618,VFR,,06/24,1500,23,5600 Kg / 0.50 MPa,Asfalto,,,,,,Cadastrado,26/05/2030,PA2020-1390,https://pergamum.anac.gov.br/arquivos/PA2020-1390.pdf,-20.505555556,-54.524722222
SWJW,GO0008,Jataí,JATAÍ,Goiás,Jataí,Goiás,"17°49'48.0S""","051°46'31.0W""",771,VFR,VFR,13/31,1500,23,10/F/B/X/U,Asfalto,,,,,,Cadastrado,23/09/2030,PA2020-2415,https://pergamum.anac.gov.br/arquivos/PA2020-2415.pdf,-17.83,-51.775277778
SNOU,AC0003,Novo Aeródromo de Feijó,FEIJÓ,Acre,Feijó,Acre,"08°08'29.0S""","070°20'27.0W""",168,VFR,Sem Operação,03/21,1200,24,5500 Kg / 0.50 MPa,Asfalto,,,,,,Cadastrado,23/04/2030,PA2020-1089,https://pergamum.anac.gov.br/arquivos/PA2020-1089.pdf,-8.141388889,-70.340833333
SBGW,SP0076,Guaratinguetá,GUARATINGUETÁ,São Paulo,Guaratinguetá,São Paulo,"22°47'30.0S""","045°12'16.0W""",537,VFR / IFR Não Precisão,VFR / IFR Não Precisão,02/20,1551,30,15/F/C/Y/U,Asfalto,,,,,,Cadastrado,17/04/2030,PA2020-1020,https://pergamum.anac.gov.br/arquivos/PA2020-1020.pdf,-22.791666667,-45.204444444
SSCI,MS0012,Coxim,COXIM,Mato Grosso do Sul,Coxim,Mato Grosso do Sul,"18°28'53.0S""","054°42'57.0W""",292,VFR,Sem Operação,02/20,1300,23,13/F/A/X/T,Asfalto,,,,,,Cadastrado,,PD2003-0667,https://pergamum.anac.gov.br/arquivos/PD2003-0667.pdf,-18.481388889,-54.715833333
SWXM,MT0014,Regional Orlando Villas Boas,MATUPÁ,Mato Grosso,Matupá,Mato Grosso,"10°10'13.0S""","054°57'10.0W""",283,VFR,Sem Operação,02/20,1482,18,5700 Kg / 0.50 MPa,Cascalho,,,,,,Cadastrado,,PA2009-0107,https://pergamum.anac.gov.br/arquivos/PA2009-0107.pdf,-10.170277778,-54.952777778
SSMJ,MS0020,Maracaju,MARACAJU,Mato Grosso do Sul,Maracaju,Mato Grosso do Sul,"21°38'02.0S""","055°08'42.0W""",390,VFR,Sem Operação,01/19,800,30,5600 Kg / 0.50 MPa,Grama,,,,,,Cadastrado,07/05/2030,PA2020-1196,https://pergamum.anac.gov.br/arquivos/PA2020-1196.pdf,-21.633888889,-55.145
SSIQ,RS0045,Itaqui,ITAQUI,Rio Grande do Sul,Itaqui,Rio Grande do Sul,"29°10'19.0S""","056°32'18.0W""",84,VFR,Sem Operação,15/33,966,23,1800 Kg / 0.50 MPa,Grama,,,,,,Interditado,19/05/2030,PA2020-1288,https://pergamum.anac.gov.br/arquivos/PA2020-1288.pdf,-29.171944444,-56.538333333
SWBG,MT0009,André Antônio Maggi,PONTES E LACERDA,Mato Grosso,Pontes e Lacerda,Mato Grosso,"15°11'36.0S""","059°23'07.0W""",247,VFR,Sem Operação,01/19,1500,30,8/F/B/Y/T,Asfalto,,,,,,Interditado,07/05/2030,PA2020-1194,https://pergamum.anac.gov.br/arquivos/PA2020-1194.pdf,-15.193333333,-59.385277778
SNKR,PI0012,Corrente,CORRENTE,Piauí,Corrente,Piauí,"10°27'07.0S""","045°08'11.0W""",473,VFR,Sem Operação,11/29,1000,20,2500 Kg / 0.50 MPa,Terra,,,,,,Interditado,,,,-10.451944444,-45.136388889
SWKO,AM0010,Coari,COARI,Amazonas,Coari,Amazonas,"04°08'02.0S""","063°07'52.0W""",40,VFR,Sem Operação,10/28,1600,36,29/F/C/X/U,Asfalto,,,,,,Cadastrado,10/05/2026,PA2016-1115,https://pergamum.anac.gov.br/arquivos/PA2016-1115.pdf,-4.133888889,-63.131111111
SBPB,PI0002,Aeroporto Internacional de Parnaíba / Prefeito Doutor João Silva Filho,PARNAÍBA,Piauí,Parnaíba,Piauí,"02°53'38.0S""","041°43'49.0W""",5,VFR,VFR,10/28,2500,45,52/F/C/X/T,Asfalto,,,,,,Cadastrado,30/07/2023,PA2013-1946,https://pergamum.anac.gov.br/arquivos/PA2013-1946.pdf,-2.893888889,-41.730277778
SNGD,PI0005,Guadalupe,GUADALUPE,Piauí,Guadalupe,Piauí,"06°46'56.0S""","043°34'56.0W""",172,VFR,Sem Operação,15/33,1600,36,9/F/C/X/U,Piçarra,,,,,,Cadastrado,,PD1970-0045,https://pergamum.anac.gov.br/arquivos/PD1970-0045.pdf,-6.782222222,-43.582222222
SNNU,MG0041,Nanuque,NANUQUE,Minas Gerais,Nanuque,Minas Gerais,"17°49'23.0S""","040°19'47.0W""",210,VFR,Sem Operação,11/29,1220,23,13/F/C/Y/U,Asfalto,,,,,,Cadastrado,30/07/2028,PA2018-2331,https://pergamum.anac.gov.br/arquivos/PA2018-2331.pdf,-17.823055556,-40.329722222
SNJK,BA0047,Jequié,JEQUIÉ,Bahia,Jequié,Bahia,"13°52'40.0S""","040°04'17.0W""",197,VFR,Sem Operação,14/32,1200,29,8/F/C/Y/U,Asfalto,,,,,,Cadastrado,18/11/2024,PA2014-2695,https://pergamum.anac.gov.br/arquivos/PA2014-2695.pdf,-13.877777778,-40.071388889
SNZW,BA0063,Ituberá,ITUBERÁ,Bahia,Ituberá,Bahia,"13°43'54.0S""","039°08'26.0W""",7,VFR,,10/28,850,20,6/F/B/Y/U,Cascalho,,,,,,Cadastrado,06/08/2025,PA2015-2105,https://pergamum.anac.gov.br/arquivos/PA2015-2105.pdf,-13.731666667,-39.140555556
SIBU,PB0012,Catolé do Rocha,CATOLÉ DO ROCHA,Paraíba,Catolé do Rocha,Paraíba,"06°21'45.0S""","037°45'19.0W""",272,VFR,Sem Operação,11/29,800,18,10/F/B/Y/U,Asfalto,,,,,,Cadastrado,15/01/2028,PA2018-0072,https://pergamum.anac.gov.br/arquivos/PA2018-0072.pdf,-6.3625,-37.755277778
SDTF,SP0050,Tatuí,TATUÍ,São Paulo,Tatuí,São Paulo,"23°19'55.0S""","047°52'48.0W""",635,VFR,Sem Operação,14/32,1300,30,28/F/B/X/T,Terra,,,,,,Cadastrado,23/04/2030,PA2020-1084,https://pergamum.anac.gov.br/arquivos/PA2020-1084.pdf,-23.331944444,-47.88
SSCP,PR0015,Francisco Lacerda Júnior,CORNÉLIO PROCÓPIO,Paraná,Cornélio Procópio,Paraná,"23°09'09.0S""","050°36'09.0W""",567,VFR,Sem Operação,06/24,1400,30,8/F/C/Y/U,Asfalto,,,,,,Cadastrado,07/05/2030,PA2020-1192,https://pergamum.anac.gov.br/arquivos/PA2020-1192.pdf,-23.1525,-50.6025
SNLT,PI0010,Paulistana,PAULISTANA,Piauí,Paulistana,Piauí,"08°09'59.0S""","041°09'14.0W""",360,VFR,Sem Operação,07/25,1060,30,2500 Kg / 0.50 MPa,Cascalho,,,,,,Interditado,,,,-8.166388889,-41.153888889
SSXX,SC0017,Municipal João Winckler,XANXERÊ,Santa Catarina,Xanxerê,Santa Catarina,"26°52'32.0S""","052°22'23.0W""",910,VFR,VFR,18/36,1149,18,8/F/A/Y/T,Asfalto,,,,,,Cadastrado,24/03/2026,PA2016-0694,https://pergamum.anac.gov.br/arquivos/PA2016-0694.pdf,-26.875555556,-52.373055556
SSAE,RS0040,Arroio Grande,ARROIO GRANDE,Rio Grande do Sul,Arroio Grande,Rio Grande do Sul,"32°13'45.0S""","053°03'21.0W""",49,VFR,Sem Operação,06/24,1000,18,5700 Kg / 0.50 MPa,Terra,,,,,,Cadastrado,27/09/2028,PA2018-2952,https://pergamum.anac.gov.br/arquivos/PA2018-2952.pdf,-32.229166667,-53.055833333
SJOG,RO0008,Ariquemes,ARIQUEMES,Rondônia,Ariquemes,Rondônia,"09°52'50.0S""","063°02'50.0W""",142,VFR,Sem Operação,03/21,1306,18,25/F/C/Y/U,Asfalto,,,,,,Cadastrado,03/12/2030,PA2020-3473,https://pergamum.anac.gov.br/arquivos/PA2020-3473.pdf,-9.880555556,-63.047222222
SSGA,RS0020,Garibaldi,GARIBALDI,Rio Grande do Sul,Garibaldi,Rio Grande do Sul,"29°16'06.0S""","051°31'56.0W""",680,VFR,Sem Operação,15/33,1200,30,8/F/C/Y/U,Asfalto,,,,,,Cadastrado,23/06/2030,PA2020-1563,https://pergamum.anac.gov.br/arquivos/PA2020-1563.pdf,-29.268333333,-51.532222222
SNNE,MG0078,Sebastião Carlos Leite,SÃO JOÃO NEPOMUCENO,Minas Gerais,São João Nepomuceno,Minas Gerais,"21°32'32.0S""","043°01'16.0W""",403,VFR,Sem Operação,11/29,620,40,3000 Kg / 0.50 MPa,Saibro,,,,,,Cadastrado,09/04/2030,PA2020-0975,https://pergamum.anac.gov.br/arquivos/PA2020-0975.pdf,-21.542222222,-43.021111111
SNYE,MA0004,Pinheiro,PINHEIRO,Maranhão,Pinheiro,Maranhão,"02°28'39.0S""","045°06'18.0W""",20,VFR,Sem Operação,09/27,1740,30,29/F/C/X/T,Asfalto,,,,,,Interditado,17/03/2030,PA2020-0706,https://pergamum.anac.gov.br/arquivos/PA2020-0706.pdf,-2.4775,-45.105
SNCT,MG0056,Caratinga,UBAPORANGA,Minas Gerais,Ubaporanga,Minas Gerais,"19°43'31.0S""","042°06'40.0W""",599,VFR,,02/20,1080,23,5000 Kg / 0.50 MPa,Asfalto,,,,,,Cadastrado,20/12/2026,PA2016-3721,https://pergamum.anac.gov.br/arquivos/PA2016-3721.pdf,-19.725277778,-42.111111111
SNLO,MG0037,São Lourenço,SÃO LOURENÇO,Minas Gerais,São Lourenço,Minas Gerais,"22°05'30.0S""","045°02'43.0W""",875,VFR,Sem Operação,05/23,1300,30,14/F/B/X/T,Asfalto,,,,,,Cadastrado,,PD1983-0097,https://pergamum.anac.gov.br/arquivos/PD1983-0097.pdf,-22.091666667,-45.045277778
SBPF,RS0006,Lauro Kurtz,PASSO FUNDO,Rio Grande do Sul,Passo Fundo,Rio Grande do Sul,"28°14'43.0S""","052°19'43.0W""",724,VFR / IFR Não Precisão,VFR / IFR Não Precisão,08/26,1700,30,29/F/A/X/T,Asfalto,,,,,,Cadastrado,05/12/2023,PA2013-3197,https://pergamum.anac.gov.br/arquivos/PA2013-3197.pdf,-28.245277778,-52.328611111
SSSB,RS0014,São Borja,SÃO BORJA,Rio Grande do Sul,São Borja,Rio Grande do Sul,"28°39'17.0S""","056°02'05.0W""",80,VFR,Sem Operação,07/25,1500,30,17/F/C/Y/U,Asfalto,14/32,700,18,5700 Kg / 0.50 MPa,Grama,Cadastrado,15/07/2030,PA2020-1754,https://pergamum.anac.gov.br/arquivos/PA2020-1754.pdf,-28.654722222,-56.034722222
SDFX,BA0054,Casa Nova,CASA NOVA,Bahia,Casa Nova,Bahia,"09°09'27.0S""","040°56'15.0W""",405,VFR,,12/30,1100,20,10/F/B/Y/U,Asfalto,,,,,,Cadastrado,10/03/2026,PA2016-0532,https://pergamum.anac.gov.br/arquivos/PA2016-0532.pdf,-9.1575,-40.9375
SSRU,RS0034,São Lourenço do Sul,SÃO LOURENÇO DO SUL,Rio Grande do Sul,São Lourenço do Sul,Rio Grande do Sul,"31°23'05.0S""","052°01'57.0W""",27,VFR,Sem Operação,03/21,1055,18,5700 Kg / 0.50 MPa,Saibro,,,,,,Cadastrado,23/09/2030,PA2020-2448,https://pergamum.anac.gov.br/arquivos/PA2020-2448.pdf,-31.384722222,-52.0325
SSEP,RS0031,São Sepé,SÃO SEPÉ,Rio Grande do Sul,São Sepé,Rio Grande do Sul,"30°10'56.0S""","053°34'46.0W""",153,VFR,Sem Operação,14/32,1140,18,5700 Kg / 0.62 MPa,Terra,,,,,,Cadastrado,,PD1985-0073COMAR,https://pergamum.anac.gov.br/arquivos/PD1985-0073COMAR.pdf,-30.182222222,-53.579444444
SSIJ,RS0032,Ijuí,IJUÍ,Rio Grande do Sul,Ijuí,Rio Grande do Sul,"28°22'07.0S""","053°50'47.0W""",365,VFR,VFR,18/36,1280,23,8/F/C/Y/U,Asfalto,,,,,,Cadastrado,23/07/2030,PA2020-1835,https://pergamum.anac.gov.br/arquivos/PA2020-1835.pdf,-28.368611111,-53.846388889
SNIB,BA0045,Itaberaba,ITABERABA,Bahia,Itaberaba,Bahia,"12°29'59.0S""","040°16'13.0W""",283,VFR,,14/32,1100,30,8/F/C/Y/U,Asfalto,,,,,,Cadastrado,20/04/2028,PA2018-1228,https://pergamum.anac.gov.br/arquivos/PA2018-1228.pdf,-12.499722222,-40.270277778
SBCR,MS0009,Corumbá Internacional,CORUMBÁ,Mato Grosso do Sul,Corumbá,Mato Grosso do Sul,"19°00'43.0S""","057°40'17.0W""",141,VFR / IFR Não Precisão,VFR / IFR Não Precisão,09/27,1500,45,71/F/C/X/T,Asfalto,,,,,,Cadastrado,22/03/2026,PA2016-0668,https://pergamum.anac.gov.br/arquivos/PA2016-0668.pdf,-19.011944444,-57.671388889
SBSN,PA0002,Maestro Wilson Fonseca,SANTARÉM,Pará,Santarém,Pará,"02°25'29.0S""","054°47'09.0W""",60,VFR / IFR Não Precisão,VFR / IFR Não Precisão,10/28,2400,45,48/F/A/W/T,Asfalto,,,,,,Cadastrado,23/09/2030,PA2020-2416,https://pergamum.anac.gov.br/arquivos/PA2020-2416.pdf,-2.424722222,-54.785833333
SSVI,SC0011,Ângelo Ponzoni,VIDEIRA,Santa Catarina,Videira,Santa Catarina,"26°59'59.0S""","051°08'29.0W""",840,VFR,Sem Operação,10/28,1400,23,11/F/A/Y/T,Asfalto,,,,,,Cadastrado,13/12/2028,PA2018-3718,https://pergamum.anac.gov.br/arquivos/PA2018-3718.pdf,-26.999722222,-51.141388889
SNMK,MG0017,Mocambinho,JAÍBA,Minas Gerais,Jaíba,Minas Gerais,"15°05'35.0S""","043°58'45.0W""",450,VFR,Sem Operação,11/29,1531,30,14/F/A/Y/T,Asfalto,,,,,,Cadastrado,20/08/2030,PA2020-2078,https://pergamum.anac.gov.br/arquivos/PA2020-2078.pdf,-15.093055556,-43.979166667
SNTQ,BA0053,Buritirama,BURITIRAMA,Bahia,Buritirama,Bahia,"10°43'18.0S""","043°39'13.0W""",499,VFR,,11/29,1102,29,5700 Kg / 0.50 MPa,Piçarra,,,,,,Cadastrado,30/10/2025,PA2015-2911,https://pergamum.anac.gov.br/arquivos/PA2015-2911.pdf,-10.721666667,-43.653611111
SWCA,AM0007,Carauari,CARAUARI,Amazonas,Carauari,Amazonas,"04°52'17.0S""","066°53'51.0W""",108,VFR,Sem Operação,04/22,1665,18,12/F/C/Y/T,Asfalto,,,,,,Cadastrado,06/09/2027,PA2017-3045,https://pergamum.anac.gov.br/arquivos/PA2017-3045.pdf,-4.871388889,-66.8975
SDIG,SP0038,Ibitinga,IBITINGA,São Paulo,Ibitinga,São Paulo,"21°44'50.0S""","048°51'21.0W""",542,VFR,Sem Operação,13/31,1200,18,5600 Kg / 0.50 MPa,Asfalto,,,,,,Cadastrado,23/04/2030,PA2020-1074,https://pergamum.anac.gov.br/arquivos/PA2020-1074.pdf,-21.747222222,-48.855833333
SNIT,BA0046,Ibotirama,IBOTIRAMA,Bahia,Ibotirama,Bahia,"12°09'52.0S""","043°13'32.0W""",422,VFR,Sem Operação,16/34,1100,20,6/F/C/Y/U,Asfalto,,,,,,Cadastrado,11/01/2029,PA2019-0063,https://pergamum.anac.gov.br/arquivos/PA2019-0063.pdf,-12.164444444,-43.225555556
SWKC,MT0017,Cáceres,CÁCERES,Mato Grosso,Cáceres,Mato Grosso,"16°02'34.0S""","057°37'47.0W""",150,VFR,VFR,18/36,1285,17,9/F/C/Y/U,Asfalto,,,,,,Cadastrado,,PD1997-0889,https://pergamum.anac.gov.br/arquivos/PD1997-0889.pdf,-16.042777778,-57.629722222
SSPI,PR0010,Edu Chaves,PARANAVAÍ,Paraná,Paranavaí,Paraná,"23°05'24.0S""","052°29'19.0W""",474,VFR,VFR,13/31,1500,30,13/F/C/Y/U,Asfalto,,,,,,Cadastrado,16/07/2025,PA2015-1832,https://pergamum.anac.gov.br/arquivos/PA2015-1832.pdf,-23.09,-52.488611111
SSLO,PR0031,Attillio Accorsi,LOANDA,Paraná,Loanda,Paraná,"22°55'04.0S""","053°08'59.0W""",470,VFR,Sem Operação,05/23,1100,23,14/F/C/Y/U,Asfalto,,,,,,Interditado,,PD1980-0013,https://pergamum.anac.gov.br/arquivos/PD1980-0013.pdf,-22.917777778,-53.149722222
SNWS,CE0005,Crateús,CRATEÚS,Ceará,Crateús,Ceará,"05°12'40.0S""","040°42'15.0W""",315,VFR,VFR,08/26,1500,30,12/F/C/Y/U,Asfalto,,,,,,Cadastrado,,PD2001-0798,https://pergamum.anac.gov.br/arquivos/PD2001-0798.pdf,-5.211111111,-40.704166667
SSRF,BA0034,Castro Alves,CASTRO ALVES,Bahia,Castro Alves,Bahia,"12°45'57.0S""","039°27'04.0W""",261,VFR,Sem Operação,13/31,1300,21,8/F/C/Y/U,Cascalho,,,,,,Cadastrado,01/03/2028,PA2018-0664,https://pergamum.anac.gov.br/arquivos/PA2018-0664.pdf,-12.765833333,-39.451111111
SBIC,AM0012,Itacoatiara,ITACOATIARA,Amazonas,Itacoatiara,Amazonas,"03°07'35.0S""","058°28'54.0W""",43,VFR / IFR Não Precisão,,14/32,1515,30,8/F/C/Y/U,Asfalto,,,,,,Cadastrado,02/08/2028,PA2018-2359,https://pergamum.anac.gov.br/arquivos/PA2018-2359.pdf,-3.126388889,-58.481666667
SWFR,GO0014,Formosa,FORMOSA,Goiás,Formosa,Goiás,"15°33'22.0S""","047°20'43.0W""",965,VFR,Sem Operação,05/23,1400,30,5700 Kg / 0.50 MPa,Asfalto,,,,,,Cadastrado,01/09/2025,PA2015-2307,https://pergamum.anac.gov.br/arquivos/PA2015-2307.pdf,-15.556111111,-47.345277778
SDJO,SP0057,São Joaquim da Barra,SÃO JOAQUIM DA BARRA,São Paulo,São Joaquim da Barra,São Paulo,"20°35'36.0S""","047°50'32.0W""",651,VFR,Sem Operação,14/32,1000,30,5600 Kg / 0.50 MPa,Terra,,,,,,Cadastrado,,PD1992-0338,https://pergamum.anac.gov.br/arquivos/PD1992-0338.pdf,-20.593333333,-47.842222222
SNRX,MA0009,Riachão,RIACHÃO,Maranhão,Riachão,Maranhão,"07°21'01.0S""","046°38'02.0W""",400,VFR,Sem Operação,12/30,1200,40,6/F/C/Y/U,Terra,,,,,,Interditado,,,,-7.350277778,-46.633888889
SNOX,PA0014,Oriximiná,ORIXIMINÁ,Pará,Oriximiná,Pará,"01°42'49.0S""","055°50'09.0W""",80,VFR,Sem Operação,17/35,1600,30,27/F/B/X/U,Asfalto,,,,,,Cadastrado,09/04/2030,PA2020-0969,https://pergamum.anac.gov.br/arquivos/PA2020-0969.pdf,-1.713611111,-55.835833333
SNSS,MG0029,Salinas,SALINAS,Minas Gerais,Salinas,Minas Gerais,"16°12'30.0S""","042°19'19.0W""",763,VFR,Sem Operação,18/36,1480,30,8/F/B/Y/T,Asfalto,,,,,,Cadastrado,11/07/2029,PA2019-2065,https://pergamum.anac.gov.br/arquivos/PA2019-2065.pdf,-16.208333333,-42.321944444
SDNH,SP0060,Novo Horizonte,NOVO HORIZONTE,São Paulo,Novo Horizonte,São Paulo,"21°29'52.0S""","049°14'04.0W""",465,VFR,Sem Operação,13/31,1000,20,5700 Kg / 0.50 MPa,Cascalho,,,,,,Cadastrado,17/06/2026,PA2016-1523,https://pergamum.anac.gov.br/arquivos/PA2016-1523.pdf,-21.497777778,-49.234444444
SWDM,MT0015,Diamantino,DIAMANTINO,Mato Grosso,Diamantino,Mato Grosso,"14°22'37.0S""","056°24'02.0W""",450,VFR,Sem Operação,15/33,1480,18,13/F/C/Y/U,Asfalto,,,,,,Cadastrado,,PD1995-0423,https://pergamum.anac.gov.br/arquivos/PD1995-0423.pdf,-14.376944444,-56.400555556
SSTB,SC0013,Três Barras,TRÊS BARRAS,Santa Catarina,Três Barras,Santa Catarina,"26°07'58.0S""","050°18'35.0W""",780,VFR,,03/21,1370,18,5000 Kg / 0.50 MPa,Asfalto,,,,,,Cadastrado,13/04/2030,PA2020-0977,https://pergamum.anac.gov.br/arquivos/PA2020-0977.pdf,-26.132777778,-50.309722222
